Day,Date,Value,Name,Measure
2,2019-10-14,2.13000011444092,Inovio Pharmaceuticals,Adj_Close
2,2019-10-14,124.085350036621,Johnson & Johnson,Adj_Close
2,2019-10-14,899100,BioNTech,Volume
2,2019-10-14,13.8299999237061,BioNTech,Open
2,2019-10-14,2.1800000667572,Inovio Pharmaceuticals,Open
2,2019-10-14,12.75,BioNTech,Adj_Close
2,2019-10-14,4.88000011444092,Novavax,High
2,2019-10-14,954300,Moderna,Volume
3,2019-10-15,10008800,Johnson & Johnson,Volume
3,2019-10-15,43.75,Astrazeneca,Open
3,2019-10-15,2.24000000953674,Inovio Pharmaceuticals,Close
3,2019-10-15,44.2799987792969,Astrazeneca,High
3,2019-10-15,4.86999988555908,Novavax,Open
3,2019-10-15,13.9300003051758,Moderna,Open
3,2019-10-15,2.11999988555908,Inovio Pharmaceuticals,Open
3,2019-10-15,13,BioNTech,High
3,2019-10-15,12.5299997329712,BioNTech,Low
3,2019-10-15,530800,Inovio Pharmaceuticals,Volume
3,2019-10-15,132.100006103516,Johnson & Johnson,Low
3,2019-10-15,13.5299997329712,Moderna,Low
3,2019-10-15,2.24000000953674,Inovio Pharmaceuticals,Adj_Close
3,2019-10-15,12.9899997711182,BioNTech,Open
3,2019-10-15,484700,BioNTech,Volume
3,2019-10-15,4.82999992370606,Novavax,Adj_Close
3,2019-10-15,2230100,Astrazeneca,Volume
3,2019-10-15,14.3299999237061,Moderna,Close
3,2019-10-15,132.839996337891,Johnson & Johnson,Close
3,2019-10-15,126.097770690918,Johnson & Johnson,Adj_Close
3,2019-10-15,4.88000011444092,Novavax,High
3,2019-10-15,14.4499998092651,Moderna,High
3,2019-10-15,133,Johnson & Johnson,Open
3,2019-10-15,4.75,Novavax,Low
3,2019-10-15,511600,Novavax,Volume
3,2019-10-15,14.3299999237061,Moderna,Adj_Close
3,2019-10-15,2.25,Inovio Pharmaceuticals,High
3,2019-10-15,2.11999988555908,Inovio Pharmaceuticals,Low
3,2019-10-15,43.6699981689453,Astrazeneca,Low
3,2019-10-15,44.2099990844727,Astrazeneca,Close
3,2019-10-15,41.8332138061524,Astrazeneca,Adj_Close
3,2019-10-15,4.82999992370606,Novavax,Close
3,2019-10-15,12.9200000762939,BioNTech,Adj_Close
3,2019-10-15,12.9200000762939,BioNTech,Close
3,2019-10-15,1153500,Moderna,Volume
3,2019-10-15,134.25,Johnson & Johnson,High
4,2019-10-16,998400,Inovio Pharmaceuticals,Volume
4,2019-10-16,43.7900009155274,Astrazeneca,Close
4,2019-10-16,430100,Novavax,Volume
4,2019-10-16,12.6099996566772,BioNTech,Low
4,2019-10-16,128.309509277344,Johnson & Johnson,Adj_Close
4,2019-10-16,2.24000000953674,Inovio Pharmaceuticals,Open
4,2019-10-16,4.80000019073486,Novavax,Open
4,2019-10-16,13.1999998092651,BioNTech,Open
4,2019-10-16,4.82999992370606,Novavax,High
4,2019-10-16,135.169998168945,Johnson & Johnson,Close
4,2019-10-16,4.73999977111816,Novavax,Adj_Close
4,2019-10-16,44.0299987792969,Astrazeneca,High
4,2019-10-16,1663000,Astrazeneca,Volume
4,2019-10-16,133.800003051758,Johnson & Johnson,Low
4,2019-10-16,14.1499996185303,Moderna,Close
4,2019-10-16,14.1499996185303,Moderna,Adj_Close
4,2019-10-16,43.6300010681152,Astrazeneca,Low
4,2019-10-16,4.73999977111816,Novavax,Close
4,2019-10-16,12.9399995803833,BioNTech,Close
4,2019-10-16,524200,BioNTech,Volume
4,2019-10-16,12434200,Johnson & Johnson,Volume
4,2019-10-16,14.0200004577637,Moderna,Low
4,2019-10-16,14.3199996948242,Moderna,High
4,2019-10-16,134.899993896484,Johnson & Johnson,Open
